author,published,title,text,language,site_url,main_img_url,type,label,title_without_stopwords,text_without_stopwords,hasImage
WashingtonsBlog,2016-10-31T00:29:00.000+02:00,social media is censoring fbis reopened clinton email investigation,more lies from our esteemed scandalous liberal muslim leader and his administration i for one have trust issues like so many others yet these clowns think that the american people are believing these stories it appears that the liberals in the government are showing that they are more ignorant than the people by thinking that we actually believe them,english,washingtonsblog.com,http://static.westernjournalism.com/wp-content/uploads/2016/10/genniferflowers.jpg,bias,Real,poll finds americans support police highest nearly years,dont think different elected fraud elected hes still fraud one day live country justice blind rule law prevails well hrc prosecuted thrown prison,1
No Author,2016-10-26T17:45:00.000+03:00,years later elizabeth smart realizes kidnapping was even worse for her parents,lies and more liescannot trust any of those liars,english,westernjournalism.com,http://static.westernjournalism.com/wp-content/uploads/2016/08/sheriffjoearpaio.jpg,bias,Real,title,trump way,1
Amy Goodrich,2016-11-01T09:31:26.225+02:00,clear heart blockages with this powerful lemon and garlic mixture,"thu oct th  at  pm just another day in the life of donald trumps presidential campaign share on twitter print this post 
it was a standard day in the life of donald trumps presidential campaign as the republican nominee spent much of his time on the campaign trail thursday making outrageous and insulting comments 
this was on clear display at a rally in toledo ohio when trump proposed one of his most ridiculous ideas yet cancel the election and just anoint him president 
video trump jokes we should just cancel the election and just give it to trump right what are we even having it for her policies are so bad pictwittercomstzidbpf 
 bradd jaffy braddjaffy october   
im just thinking to myself right now we should just cancel the election and just give it to trump right trump asked the crowd what are we even having it for  her policies are so bad 
despite trumps plea to cancel the election as he continues to struggle in the polls it will be the voters who decide which candidate has the better policies  thankfully 
the remark also aligns closely with other recent comments in which trump claimed the process is rigged against him and he will only accept the outcome of the election if its favorable for him 
but trump wasnt done at his buckeye state rally he also made sure to take a dig at minority communities 
video help me out there did trump just say were going to work on our ghettos before mentioning inner cities violence and african americans pictwittercomvkqzslbh 
 bradd jaffy braddjaffy october   
trumps comments 
were gonna work on our ghettos  take a look at whats going on where you have pockets of areas of land where you have the inner cities and you have so many things so many problems so many horrible horrible problems  the violence the death the lack of education no jobs were gonna work with the africanamerican community and were going to solve the problem of the inner city  you cant walk out the street you buy a loaf of bread and you end up getting shot 
the republican nominees ghetto comment is the newest addition to what is the standard trump narrative that black communities are hellscapes this particular set of remarks comes a day after he visited north carolina for a rally and told supporters  mostly white  that he would enact a new deal for black america 
in the closing days of this election donald trump is once again showing that there is no better version of who he is the man who built a campaign on racial resentment is doubling down on it as this election season comes to a conclusion",english,naturalnews.com,http://www.naturalnews.com/gallery/640/Women/Woman-Lying-In-Grass.jpg,junksci,Fake,amazing aqutru water filter version stock ive snagged units natural news readers deep discount,hrafnkell haraldsson thu oct th pm evangelical women support trump stood percent midoctober barely half romney percent share twitter print post donald trump hemorrhaging evangelical women voters support stood percent midoctober barely half romney percent noted yesterday romney lot support trump lacks romney lost rumblings among prominent evangelical women like beth moore living proof ministries try absorb acceptable disesteem objectifying women christian leaders dont think big deal beth moore bethmoorelpm october politico asked earlier month long evangelical women remain behind trump answer according wall street journal says turning away republican nominee faces vocal backlash evangelical women lewd comments sexualmisconduct allegations willing overlook number deplorable remarks trump see clinton defeated others enough conservative christian women turn away donald trump httpstcoyhzfozjrn pictwittercomwtqmtem sopan deb sopandeb october kimberly ross wrote red state earlier month dont believe american woman oppressed however beyond disappointing men claim faith leadership roles willing dismiss predator among maybe trump promised future role dont know regardless lured away duty instead join someone whose hobby casting females aside im disgusted trump male cheerleaders thankfully women like beth moore rev lisa sharon harper wont stay quiet sidelines evangelical men always wished would hardly alone evangelical women joining ranks heard enough misogyny trump reaction evangelical women laurie goodstein noted new york times earlier month rift shapes politics years isnt trump hasnt saying things along david french protested national review back june trump subverts cherished values question took long trump already effect religious right unrepentant sinner represents everything claim oppose percent support evangelical men evangelical women seem support despite misogyny good reasons suspect men support negative attitude towards women trump wants shrink already deflated tent shutting another demographic hes going right way,1
Dr. Patrick Slattery,2016-10-26T21:25:07.770+03:00,dr david duke and dr slattery expose hillarys treason and why trump  duke will win,"watch dr dukes powerful new television commercial   am 
watch dr dukes new television commercial",english,davidduke.com,https://s0.wp.com/i/blank.jpg,hate,Real,dr david duke dr slattery expose hillarys treason trump duke win,watch dr dukes powerful new television commercial watch dr dukes new television commercial,1
No Author,2016-11-13T03:51:00.000+02:00,posttrump liberal meltdown counseling cryins therapy dogs and poetry,"november   by wire leave a comment 
episode  of sunday wire show resumes this november   as host patrick henningsen brings a  hours special broadcast of live powerpacked talk radio on acr 
listen live on this page at the following scheduled show times 
sundays  pmpm uk time  pmpm et us  ampm pt us 
this weeks edition of the sunday wire is on the road broadcasting live from the valley of the sun this week host patrick henningsen covers this weeks top stories in the us and internationally in the first hour well conduct a postmortem on the incredible us election which has produced president elect donald j trump  and the aftermath  a nation divided punctuated by numerous street protests in part fuelled by soros and the democratic party machine  later were joined by our roving everyman  acr boiler room contributor randy j  for an on the ground take on election events from the west coast and beyond 
support wire  subscribe  become a member wiretv 
strap yourselves in and lower the blast shield  this is your brave new world 
note this episode may contain strong language and mature themes",english,21stcenturywire.com,http://i2.wp.com/21stcenturywire.com/wp-content/uploads/2016/11/1-Hillary-Trump-DOGS.jpg?fit=610%2C419,conspiracy,Fake,posttrump liberal meltdown counseling cryins therapy dogs poetry,november wire leave comment episode sunday wire show resumes november host patrick henningsen brings hours special broadcast live powerpacked talk radio acr listen live page following scheduled show times sundays pmpm uk time pmpm et us ampm pt us weeks edition sunday wire road broadcasting live valley sun week host patrick henningsen covers weeks top stories us internationally first hour well conduct postmortem incredible us election produced president elect donald j trump aftermath nation divided punctuated numerous street protests part fuelled soros democratic party machine later joined roving everyman acr boiler room contributor randy j ground take election events west coast beyond support wire subscribe become member wiretv strap lower blast shield brave new world note episode may contain strong language mature themes,1
Dr. Patrick Slattery,2016-10-31T18:28:51.983+02:00,dr david duke  farren shoaf  countdown  days left to trumps presidency and the critical first primary to send dr duke to the us senate,"how they could steal trump win next tuesday with the electoral college  slattery and shoaf november   at  am 
how they could steal trump win next tuesday with the electoral college  slattery and shoaf 
farren shoaf host of the alternative media on rbn interviewed dr slattery about the upcoming election they talked about hillarys new scandal how they could steal trump win next tuesday with the electoral college and how civilization itself could literally collapse if hillary is elected",english,davidduke.com,https://s0.wp.com/i/blank.jpg,hate,Real,dr david duke farren shoaf countdown days left trumps presidency critical first primary send dr duke us senate,could steal trump win next tuesday electoral college slattery shoaf november could steal trump win next tuesday electoral college slattery shoaf farren shoaf host alternative media rbn interviewed dr slattery upcoming election talked hillarys new scandal could steal trump win next tuesday electoral college civilization could literally collapse hillary elected,1
"Ethan A. Huff, staff writer",2016-10-28T09:33:58.716+03:00,new pan report warns of global contamination of health damaging glyphosate,"top  amazing indigenous allnatural cures from around the world 
  s d wells tags natural cures  indigenous medicine  healing plants naturalnews before world war ii very few americans suffered from cancer alzheimers parkinsons diabetes heart disease strokes arthritis osteoporosis food allergies psoriasis eczema autism aspergers syndrome or even fibromyalgia there were no processed foods no genetically modified organisms no chemical pesticides no toxic vaccines loaded with mercury and aluminum no overthecounter medications loaded with artificial food dyes and heavy metal toxins no artificial sweeteners no fluoride in the tap water no leaking nuclear reactors and of course there were no insidious oncologists giving people lethal chemical drugs chemotherapy to fight off cell disorder cancer thats caused by chemical consumption in the first placenone of that was going on because the american medical association had yet to figure out that if all mainstream medicine was simply made of chemicals everybody who got sick would stay sick and the medicine industry would become one of the biggest money makers in the history of the worldyes that was the time of amazing indigenous medicine  when natural healers were doing wonders for sick folks using natural remedies  and when people did get sick they took medicine that had worked for millennia not some labconcocted chemicals that crooked science journals swore would work the chinese and the american indians didnt get lucky they used food as medicine  and it workedhave you had enough of medicine thats so poisonous that they have to inform you about side effects more dangerous than the condition being treated are you sick of paying an arm and a leg for symptomcoverup chemicals that make you fat dumb sicker and closer to death so is everybody else join the club end the insanity try the top  amazing indigenous allnatural cures from around the world and never suffer another side effect never perpetuate illness and never ever eat cancer again allnatural indigenous cures from around the world  hemp seed oil  ready for the most complete amino acid profile in the world hemp seed oil has a  ratio of omega to omega fatty acids that best supports heart health and promotes proper cardiovascular function thus preventing degenerative diseases  the oil even has antioxidant and antiinflammatory properties that protect against the aging process the oil from the seeds also contains essential fatty acids mercuryfree that are crucial for brain and eye health especially during the first years of life cannabidiol cbd  made from the roots and stems of the cannabis plant cannabidiol yields none of the psychoactive compound thc tetrahydrocannabinol that marijuana contains also known as the ultimate preventative medicine the miracle herb and even referred to as the forbidden medicine cbd is a medical wonder having antiinflammatory and anticancer properties  including the support of mitochondrial function at the cellular level oil of oregano  pharmaceutical companies wish they could patent it produced from the perennial herb oregano the oil is loaded with antioxidants that annihilate the free radicals that cause cancer  one of the most potent remedies in the world oregano oil beats down viruses and knocks back allergies to pollen chlorella  stressed about keeping your blood sugar levels in a healthy range a recent clinical study proved that superfood chlorella helps maintain healthy blood sugar metabolism even at the genetic level be sure to buy organic chlorella but not from china because its contaminated with heavy metals aloe  wars have been waged to control areas where aloe flourishes the aloe vera plant has been used for thousands of years to heal all kinds of health conditions including wounds burns skin irritations sunburn and even constipation grown in mostly tropical locations this succulent plant has more than  species with over  nutrients in the gel including vitamins a c e b b b niacin b choline folic acid alphatocopherol and betacarotene plus aloe extracts improve absorption of both vitamin c and vitamin e maca  a member of the cruciferous family maca root is an adaptive superfood grown high in the mountains of south america maca is very rich in nutrients and supports increased libido hormone balance immune boosting effects and increased energy garlic cloves  garlic contains a compound called allicin thats a potent medicine that was used by the egyptians romans greeks and chinese to combat sicknesses including the common cold licorice root  dating back as far as  ad this chinese herbal remedy is used in over  formulas for clinical purposes including in aiding digestion elderberry  sambucol a black elderberry extract shortcircuits the flu medical doctors will never tell you about this because its cheap and it works medicinal mushrooms  check out reishi turkey tail maitake shiitake and chaga to boost immunity and brain power and to fight cancer cells for everything from brain cancer to breast cancer sources for this article include",english,naturalnews.com,http://www.naturalnews.com/gallery/640/Business/Business-Women-Team-Happy-Victory.jpg,junksci,Fake,claim watching scary movies could help boost immune system promote weight loss,jimmy johns owner spent k trophy hunt extremely endangered female black rhino tuesday november ethan huff staff writer tags jimmy johns endangered species trophy hunting naturalnews owner american fast food chain jimmy johns fire photos emerged smiling giving thumbs beside numerous endangered species hes hunted killed throughout africa years seemingly purpose simply invoke death pleasurereports indicate jimmy john liautaud spending hundreds thousands dollars per hunting trip gain access precious species including one particular trophy hunt spent whopping kill extremely endangered female black rhino graphic photos liautaud rhino animals available warned images horrifyingly upsettingliautauds trophy hunts apparently routine pastime many bored millionaires much time money hands seem get kick taking rarest animals planet beautiful creatures like leopards rhinos lions even elephants largest brains land animals type thing people knew theyd likely stop eating jimmy johns altogethermr jimmy johns poaching fetish making media rounds many calling national boycott sandwich chain already exposed underpaying employees treating like slave workers wall street journal wsj reported social media users attempted launch boycott jimmy johns using boycottjimmyjohns hashtag twitter though company didnt seem phasedstill issue hasnt gone away many public remain outraged say reckless reprehensible behavior liautaud killing rare exotic animals cold blood hes utterly cruel way even avid hunters would hardpressed cringe perhaps shed tearsusually animals lured national park private property lara starr investigative writer cofounder earth child writes noting method liautaud uses kill prey trophy hunters leave bait play sounds animals lure tactics find animal victimscanned hunting even worse adds shooting fish barrel version trophy hunting animals often hand raised tame dont run away leave food one day coward creeps shoots high powered bow rifle sometimes dont even creep sometimes shoot back truck go back drinking gin tonic like bit harmless fun trophy hunting costs help repopulate endangered animal species one excuses often used justification expensive trophy hunting escapades cash ends getting donated conservation programs help repopulate prairies plains jungles endangered species isnt actually true two percent proceeds hunts ends used conservation purposesnontrophy hunting tourism hand responsible bulk conservation donations times trophy hunting contributes according heather callaghan editor natural blaze likewise claim animals killed trophy hunts used provide food locals also bunk carcasses end getting left behind scavengers sources,1
"Mike Adams, NaturalNews Editor",2016-11-01T13:00:00.000+02:00,clinton operative dirty donna brazile is the kind of political filth we need to eradicate from washington dc she let hillary clinton cheat at the debates,"the revived hillary clinton email investigation story that gave republicans some brief hope has been killed by a slew of new facts 
devastating point number one to republicans the emails arent about clinton withholding receiving or sending emails pete williams has sources saying not about clinton world wholding emails not about podesta emails not emails from clinton 
 sam stein samsteinhp october   
nbcs pete williams also has details that are already taking the air out of republican sails nbcs pete williams sr officials sayduring separate investigation a device led to addl emailsnot from clinton httpstcoqmmnoxxhox 
 bradd jaffy braddjaffy october   
for those who cant watch the video above important reporting from petewilliamsnbc on the fbiclinton news ht mmurraypolitics  pictwittercomryxmtpxmtw 
 sahil kapur sahilkapur october   
this might be a record for the fastest death of a republican scandal trump and republicans made a number of assumptions that turned out not to be true it looks like the fbi is only trying to be careful in their review since the emails have nothing to do with hillary clinton the state department emails sent or received by clinton or the clinton foundation republicans were wrong on all fronts 
facts wont stop republicans from trying to make something out of nothing but the comey letter is not the campaign changer that trump and the republicans were hoping for the weakness of this story means that should play well in the conservative media echo chamber but by monday it will be forgotten by the rest of the country",english,naturalnews.com,http://www.naturalnews.com/gallery/640/Pills/Another-Bottle-Of-Pills.jpg,junksci,Fake,truth zika grand medical hoax,jason easley fri oct th pm trump trump stepped stage immediately wrecked chance republicans taking advantage email story share twitter print post trump trump stepped stage immediately wrecked chance republicans taking advantage email story trump went full hyperbolic overdrive new hampshire claiming fbis reopening investigation bigger watergate republican nominee took back claim system rigged video following fbi announcement clintons emails trump remarks system might rigged thought httpstcokiuxbvef abc news politics abcpolitics october trump said ive announced previously might rigged thought right fbi think theyre going right ship folks think theyre going right ship theyre going save great reputation speculation fbi likely review new emails stick original finding hillary clinton nothing wrong trump republicans jumping conclusions know clinton guilty without evidence support beliefs assuming fbi going find evidence hillary clinton something wrong think emails ticket getting trump elected trump political skills idea use gentle touch stop republican nominee destroyed hope gop using reopened email investigation advantage letting habits lying changing positions whim take hold email scandal isnt going help republicans hasnt wont trumps top incompetence killed boost republicans might gotten story,1
Staff,2016-11-22T02:49:11.854+02:00,httpsyoutubebfpfcy_bsm,"httpmediaarchivesgsradionetddukemp 
dr duke and pastor dankof on trumps america first foreign policy 
today dr duke had pastor mark dankof as his guest for the hour they talked about donald trumps appointments to his new cabinet they gave low marks to representative mike pompeo as the new cia director for his past policy positions although they noted his loyalty to trump as a potential silver lining they also panned nikki hailey as the un ambassador which however does allow trump supporter henry mcmaster succeed her as south carolina governor 
the most hopeful prospect is congresswoman tulsi gabbard from hawaii who is a potential secretary of state she has supported trumps desire to reconcile with russia and has been the most vocal opponent in congress of the obama administrations efforts to overthrow syrian president assad her appointment would go a long way towards wresting control of american foreign policy from jewish neocons and putting americas interests first again 
this is another great show that you wont want to miss please share it widely 

our show is aired live at  am replayed at et pm eastern and am eastern",english,davidduke.com,http://davidduke.com/wp-content/uploads/2016/11/selfie.jpg,hate,Real,dr duke andrew anglin true voice republican party,httpmediaarchivesgsradionetddukemp dr duke lauds white hero richard spencer npi true alt right today dr duke applauded national policy institute director richard spencer staged conference major venue washington dc focused white interests specifically discussed jewish power threat white interests crossed boundary taboo realm jewish power spencer vicious attack mainstream media segments alternative media revealing nothing zionist tools dr slattery joined show commented significance someone visibility spencer someone ability stage major conference addressing reality jewish power show open eyes amazing progress making please share widely show aired live replayed et pm eastern eastern related share,1
Tony Rabon,2016-10-28T19:56:09.149+03:00,comment on what white house executive chef comerford would cook for president hillarys first meal by tony rabon,"adobochron  comment 
san francisco california  the adobo chronicles san francisco bureau  now it can be told  now that hillary clinton is all but assured of the democratic presidential nomination 
for months since the former secretary of state launched her presidential bid her campaign logo has always symbolized americas quest to move forward with the arrow in the logo pointing to the right lefthanded people of course dispute that symbolism because for them moving forward should be pointing to the left 
but there is another school of thought about hillarys logo many believe that the arrow pointing right actually symbolizes moving to the conservative right as opposed to the liberal left 
the logo was a brilliant concept designed to help the democrats win over republican voters in the general elections  voters who will definitely choose a rightist over a leftist candidate 
the gops presumptive nominee donald trump is perceived by many as more leftist than rightist which would give clinton the edge among conservative voters 
who knew the placement or direction of an arrow could spell victory or defeat for an american presidential candidate rate this",english,adobochronicles.com,https://adobochroniclesdotcom.files.wordpress.com/2016/10/img_6726.jpg,fake,Fake,comment white house executive chef comerford would cook president hillarys first meal tony rabon,adobochron comment san francisco california adobo chronicles san francisco bureau told hillary clinton assured democratic presidential nomination months since former secretary state launched presidential bid campaign logo always symbolized americas quest move forward arrow logo pointing right lefthanded people course dispute symbolism moving forward pointing left another school thought hillarys logo many believe arrow pointing right actually symbolizes moving conservative right opposed liberal left logo brilliant concept designed help democrats win republican voters general elections voters definitely choose rightist leftist candidate gops presumptive nominee donald trump perceived many leftist rightist would give clinton edge among conservative voters knew placement direction arrow could spell victory defeat american presidential candidate rate,1
