author,published,title,text,language,site_url,main_img_url,type,label,title_without_stopwords,text_without_stopwords,hasImage
Fed Up,2016-11-06T23:54:00.000+02:00,breaking clinton clearedwas this a coordinated last minute trick to energize hillarys base  percentfedupcom,"limbaugh said that the revelations in the wikileaks material were starting to hurt the clintons and that the renewed interest in an fbi investigation into her private email server would be a fruitless distraction 
in any case 
its time to drain the swamp 
fbi director james comey said sunday that the agency has reviewed all of the hillary clinton emails recently discovered in an unrelated case and that his conclusion in july not to prosecute clinton after the fbis original investigation into her use of private email server still stands 
comey informed congress on oct  that the agency would in the unrelated case review additional emails related to clintons time running the state department from  to  
since my letter the fbi investigative team has been working around the clock to process and review a large volume of emails comey said sunday in a followup letter to congress during that time we reviewed all of the communications that were to or from hilary clinton as secretary of state based on our review we have not changed our conclusion 
the new case is purportedly related to exnew york democratic rep anthony weiner using a laptop he shared with estranged wife and top clinton aide huma abedin for sexting an apparently underage female",english,100percentfedup.com,http://100percentfedup.com/wp-content/uploads/2016/05/hillary-comey.jpg,bias,Real,breaking clinton clearedwas coordinated last minute trick energize hillarys base percentfedupcom,limbaugh said revelations wikileaks material starting hurt clintons renewed interest fbi investigation private email server would fruitless distraction case time drain swamp fbi director james comey said sunday agency reviewed hillary clinton emails recently discovered unrelated case conclusion july prosecute clinton fbis original investigation use private email server still stands comey informed congress oct agency would unrelated case review additional emails related clintons time running state department since letter fbi investigative team working around clock process review large volume emails comey said sunday followup letter congress time reviewed communications hilary clinton secretary state based review changed conclusion new case purportedly related exnew york democratic rep anthony weiner using laptop shared estranged wife top clinton aide huma abedin sexting apparently underage female,1
Claire Bernish,2016-11-01T17:19:22.596+02:00,dashcam chief caught doing over  mph only for fellow cops to stop him and laugh about it,does this mean im going to get flooded with beg letters from the second most corrupt organization in america again for  years running i sent maximum allowable donations with void across the front and back and the signature line carried to be honored when you support my choices last year nothing,english,thefreethoughtproject.com,http://thefreethoughtproject.com/wp-content/uploads/2016/11/clinton-google1.jpg,bs,Fake,comment breaking podesta told mills dump emails day news clintons private email server broke mohr,think megan kelly screwed everyone necessary fox news get think makes sexual predatori would really like feedback,1
Dr. Patrick Slattery,2016-11-18T00:51:39.322+02:00,david duke exposes the msnbc and adl lies,Real,english,davidduke.com,http://davidduke.com/wp-content/uploads/2016/11/wh_Lee_Rosenberg.jpg,hate,Real,david duke exposes msnbc adl lies,views share precommentary dr david duke article jewish daily forward newspaper claimed jewish charities give money israel education figure order billion professor kevin mcdonald points article figure actually even real totalit considerably points figure include collected synagoguesand given israeleach month synagogues schools seminaries required file tax returns real importance everyone wishes understand jewish lobby america works uses american moneyand taxpayersto keep racist jewsonly state israel business immense wealth jewish lobby product jewish ingenuityit product active discrimination favor jews jewsin educational system economy media forward study jewish charity industry professor kevin macdonald billion dollar figure title refers net assets network explicitly jewish charitable organizations puts league major corporation annual revenue around billion assuming american jewish population around million implies assets per capita per capita annual giving around half based older survey indicating persons per jewish household annual giving per household would around numbers certainly earth shaking broken particular categories indicate jewish activist organizations indeed well funded especially compared financial resources organizations oppose jewish interests probably well million organizations explicitly dedicated advancing interests white americans example billion annual donations functional charities allocated general advocacy annually goes israelrelated causes billion annually advocacy presumably includes adl reported revenue million enough fund million employee salaries including abe foxman regional offices thats lot power opposition european interests given virtual nonexistence organizations explicitly dedicated furthering european identification interests numbers donations jewish charity underestimates irs doesnt require synagogues file tax returns goes schools seminaries result billion billion annual revenue forwards best estimate based tax filings probably billions dollars short networks actual size way report fails get scope financial support jewish ethnic activism include organizations explicitly jewish supported jews ethnic reasons norman podhoretz notes jews financial engine left course vast majority charity leftist causes would appear forward article explicitly jewish organizations good example splc largely jewishfunded would considered jewish communal organization splc reported revenue million salaries million consider neocon infrastructure foundation defense democracies identifiable donors jews including host wellknown jewish activists like edgar bronfman michael steinhardt cofounded birthright israel program brings jewish young people israel dose jewish patriotism goes republicans democrats jewish funding promotes israel liberalleft values jewish community likely least democrat funding least republican example haim saban donated millions democrats right republicans considering run president courting sheldon adelson donated million republicans last presidential election cycle preliminary everything else must prove worthiness like kissing babies iowa formulating position jobs anyone half brain knows adelsons support begins ends candidate israel ditto david gelfands donation million sierra club condition adopt view immigration sync views organized jewish community gloss hard believe donation reflect typical jewish commitment displacementlevel immigration words lot destructive jewish funding included figures even though donations explicitly jewish organizations covered article tip iceberg suggestion jewish community highly mobilized time indicated per capita data crisis israel would lead huge upsurge jewish funding wars would indication european americans beginning develop sense racial identity beginning assert interests developing explicitly european organizations wherewithal make difference,1
Gillian,2016-11-05T19:29:09.927+02:00,coverup happening now  remember remember the th of november  warning,"by peter koenig  november   
the elections may have been rigged probably by both sides as the elusive elite or whats also called the deep state may be divided it looks like the better rigger emerged as the winner the final popular vote count indicates a slight advantage of hillary over trump never mind the system was purposefully designed undemocratically in the th century by the founding fathers who never really had the intention to create a truly democratic united states of america of equal rights for all 
by tony cartalucci  november   
the socalled alternative right is at least posing as holding its breath over the prospects of bushera neoconservative john bolton being appointed as us secretary of state however with the appointment of breitbarts steven bannon as chief strategist and senior counselor of the incoming administration of presidentelect donald trump bolton and his neoconservative agenda already has a solid foot in the door 
by dr binoy kampmark  november   
in an age where many pundits and pollsters ought to be put out to an ignoble pasture predictions and astrology gazing on the us election continues while he did have a better sense of this election than most actually predicting the result michael moore has decided to essentially ignore it except in the negative 
by carla stea  november   
natos preparation for and provocation of war with russia is evident in these un security council meetings this brinksmanship is a game of chicken or perhaps this perilous activity can be more aptly described as natos game of russian roulette with the lives of all humanity 
by ellen brown  november   
donald trump was an outsider who boldly stormed the citadel of washington dc and won he has promised real change but his infrastructure plan appears to be just more of the same  privatizing public assets and delivering unearned profits to investors at the expense of the people he needs to try something new and for this he could look to abraham lincoln whose bold solution was very similar to one now being considered in europe just print the money related",english,shiftfrequency.com,http://www.shiftfrequency.com/wp-content/uploads/2015/06/MaureenMoss-114x125.jpg,bs,Fake,sleep separateness,wmw_admin october sanchez manning daily mail oct bbc accused acting recklessly targeting children young six programme schoolboy takes sexchange drugs parents angry show available cbbc website features transgender storyline inappropriate children concerned campaigners said could sow seeds confusion young minds programme girl depicts yearolds struggle get hormones stunt puberty making easier sexchange surgery future one mother writing mumsnet website said daughter become worried seeing video said girl likes wearing boys clothes playing football asked anxiously means boy tory mp peter bone said beggars belief bbc making programme freely available children young six entirely share anger parents want let children children completely inappropriate material cbbc website shall writing bbc bosses demand take soon possible former culture secretary maria miller voiced concerns bbc tackling subject ageappropriate way saying issues raised children support parents tory mp julian brazier said programme disappointing inappropriate children impressionable going confuse worry family campaigner norman wells said irresponsible bbc introduce impressionable children young six idea choose something biological sex girl fictional video diary child calls amy dresses girl hosted cbbc website aimed children aged six halfhour programme amy played actress reveals born boy called ben already started using pubertyhalting drugs hypothalamic blockers provoked furore two years ago mail sunday revealed nhs clinic willing give children young nine critics cited research claiming teenagers confused gender never go surgery many realising gay bbc row comes amid growing controversy gender issues fuelled number highprofile cases one christian couple threatened yearold daughter taken away oppose plans become boy another sevenyearold boy ordered removed mothers care raising female causing great deal emotional harm girl amy says born mum said dad pleased boy take football mum knew different realised early born wrong body adds mum supported powerpoint presentation class transitioning wasnt going come school boys clothes girls clothes wasnt ben amy later amy shown telling friend josh boy wants recognised girl hormone blockers saying took ages get loads tests talks clinic realised trans real got says another entry amy tells viewers developed crush boy called liam confides liam thinks im girl im im trans whats going say finds stop friend im still arent child psychotherapist dr dilys daws said programme could confuse children said natural youngsters wonder would like opposite sex bbc irresponsible feature extreme step gender change sixyearolds young grapple issues programme generated hundreds comments mumsnet one mother said sevenyearold watched show asked unreasonable think inappropriate topic young age group another replied dont think remotely suitable sevenyearold start suggesting children transgender theyre far young actually gender reckless damaging small boy told become girl may take meaning sex changes possible sometime future hell wake girls body another user added dont think hormone therapy normalised yearolds drinking recreational drugs normalised critics slammed bbc mr wells director family education trust said promote idea boy born girls body girl born boys body drugs surgery put things right children become utterly confused respecting preserving childs birth sex seen child protection issue parents mumsnet positive one wrote dont believe young stuff like earlier teach children everyone different nobody normal better dr polly carmichael clinical psychologist specialising transgender children said raising awareness issues best way challenge stigma discrimination associated identity issues programmes like girl contribute healthy informed public discussion bbc said girl fictional transgender character trying make sense world deal bullying work keep friends universal themes many children relate positive response audience cbbc aims reflect true life providing content mirrors lives many uk children possible,1
Dr. Patrick Slattery,2016-11-02T09:10:27.146+02:00,how they could steal trump win next tuesday with the electoral college  slattery and shoaf,"after debate duke says usa becoming banana republic november   at  am after debate duke says usa becoming banana republic 
this is what the viewing audience thought about who won the debate",english,davidduke.com,https://s0.wp.com/i/blank.jpg,hate,Real,could steal trump win next tuesday electoral college slattery shoaf,debate duke says usa becoming banana republic november debate duke says usa becoming banana republic viewing audience thought debate,1
Dr. Patrick Slattery,2016-11-08T21:18:57.234+02:00,david duke exults this is the day we begin to take america back we are confident but whatever the outcome tonight our people are awakened,"dr macdonald  dr duke expose the vicious war on trump by the jewish establishment november   at  am 
dr macdonald  dr duke expose the vicious war on trump by the jewish establishment 
today dr duke had professor kevin macdonald as his guest for the hour they discussed the importance of the trump victory as well as what needs to be done they agreed that regarding immigration the most important thing in the long term is repealing the  act 
they also pointed out the phenomenon of whites voting their ethnic interests while we have been hearing that white women were going to vote against trump they wound up supporting him by a  margin even almost half of white women with a college education supported trump despite the years of jewish indoctrination at college the same can be said for white millennials 
this is an important show in terms of showing the path forward please share it widely 

our show is aired live at  am replayed at et pm eastern and am eastern 
click on image to donate 
and please spread this message to others",english,davidduke.com,https://s0.wp.com/i/blank.jpg,hate,Real,david duke exults day begin take america back confident whatever outcome tonight people awakened,dr macdonald dr duke expose vicious war trump jewish establishment november dr macdonald dr duke expose vicious war trump jewish establishment today dr duke professor kevin macdonald guest hour discussed importance trump victory well needs done agreed regarding immigration important thing long term repealing act also pointed phenomenon whites voting ethnic interests hearing white women going vote trump wound supporting margin even almost half white women college education supported trump despite years jewish indoctrination college said white millennials important show terms showing path forward please share widely show aired live replayed et pm eastern eastern click image donate please spread message others,1
"David Gutierrez, staff writer",2016-10-30T13:00:00.000+02:00,compound found in onions has antiovarian cancer effects,"the rothschild family has corrupted global banks news media oil and government share in central banks  currency  debt  deception  energy  freedom 
the new world order might seem a bit farfetched for many a handful of powerful people acting as puppet masters for the human race is a thought that might not even cross the minds of many that have seamlessly adapted to the beliefs that were instilled in them from a young age the thought that we are all being controlled and enslaved by the banks with the aid of the government is for conspiracy theorists there is no doubt that there are negative connotations associated with being a conspiracy theorist that belief has been reiterated many times mostly from the mainstream media there are people who see the world for what they are told it is others see whats really going on behind the curtain the stranglehold the global elite have on money and knowledge makes them very powerful they either directly or indirectly control every aspect of our lives 
global megacorporations make up to billions of dollars on an annual basis a select few at the top of the company make absurd amounts of money while the employees making the difference and driving the company forward are barely paid enough money to stay afloat if humans stay busy working  weekly hours for very little income they wont have the time or the resources to realize they have been dealt a bad hand the top  percent doesnt want americans to be any more educated then to have the ability to help operate and patronize their business 
the global elite have a system in place which allows them to grow their global banking empire all of humanity are literally slaves to the economic system money is necessary for our survival in the real world today most people will spend the majority of their time working just to survive in the system if money is the god of our time that makes rothschild his prophet public school programs worldwide are where the global elite first begin to shape our minds they continue the shaping through the media we are taught what they want us to know and nothing more 
the rich continue to get richer by purchasing up many successful smaller businesses when the top  percent owns the majority of banks resources and even our governments it means big problems for the people the rothschilds are worth over  trillion and they are just  of  families that pretty much collectively own the world the rothschilds alone could pay off the us national debt  times over unfortunately they would never do such a thing because they own the majority of the worlds central banks the new world orders agenda is slowly taking small steps toward complete and definitive enslavement through use of the monetary system and ownership of resources 
sources",english,naturalnews.com,http://www.naturalnews.com/gallery/640/AlternativeHealth/Food-Grade-Hydrogen-Peroxide-Bottle.jpg,junksci,Fake,know cinnamon boost intelligence,nyt credibility destroyed simple questions newt gingrich share editorials journalism trump new york times publisher executive editor promised rededicate paper fundamental mission report america world honestly without favors fear paper claims strive understand reflect political perspectives life experiences stories brought public announcement almost considered apology readers providing year half unbalanced unhinged coverage presidential race sean hannity suggests trump must ignore media trust gut instincts sad see yearold paper destroy credibility election season obvious dedicated readers times abandoned old coverage standards stories unrelentingly hostile towards trump supporters reporters including personal opinions political analysis news coverage allowed animosity toward trump spread social media political reporters front page stories new york times accusing trump lying paper never published findings reference hillary clinton papers liberal readership even gotten tired reporting resembles state controlled propaganda totalitarian regimes newt gingrich destroys new york times credibility seven simple questions new york times struggled mightily answer serious questions posed former united states house representatives speaker gingrich republican asked times whether reporters editors columnists say voted trump elaborated ask since hired trump supporters work positions times paper struggled say whether hired republican reporters gingrich also asked new york times changed policies allowing journalists express opinions events people covering fourth question asked gingrich wondered times reporters would surrender pulitzer prizes awarded news stories containing personal opinions final questions times struggled address editors retracted misleading news headlines expressed opinions papers coverage trumps tax returns fired reporters admitted writing politically motivated news stories encouraged interview subjects talk could stop trump retracted shameful electioneve frontpage story reporting trumps innermost thoughts feelings virtually every sentence filled reporters opinions speculationsfeaturing claims like struggling suppress bottomless need attention sources,1
Jared Taylor,2016-10-29T04:39:00.164+03:00,trump reaches out to blacks blacks riot in philadelphia,"illinois senator draws fire for racially charged attack on opponents family alexandra jaffe and traci g lee nbc news october   
illinois sen mark kirk is again under fire for making raciallycharged comments this time for questioning the military service of his democratic opponents family 
during thursday nights debate between kirk and challenger rep tammy duckworth duckworth spoke about her desire to be in the senate as a voice of reason and referenced her familys history of service saying my family has served this nation in uniform going back to the revolution im a daughter of the american revolution ive bled for this nation but i still want to be there in the senate when the drums of war sound because people are quick to sound the drums of war and i want to be there to say this is what it costs this is what youre asking us to do    families like mine are the ones that bleed first 
kirk responded i had forgotten that your parents came all the way from thailand to serve george washington tammy duckworth is a vet who lost both legs in iraq her family has served since the revolutionary war and yet pictwittercomdhdkwrusn 
 anthony breznican breznican october   
though duckworth who was born in thailand to a thai mother of chinese descent and an american father did not respond on the stage she tweeted a photo after the debate of herself with her parentsher father displaying medals of service on his coat my mom is an immigrant and my dad and his family have served this nation in uniform since the revolution duckworth wrote 
duckworths late father franklin served in world war ii and has traced his lineage back to an ancestor who fought in the american revolution according to a  mother jones profile on duckworths run for congress 
snip 
on friday kirk tried to tamp down the backlash and tweeted sincere apologies to an american hero 
its not the first time the illinois senator has courted controversy with raciallycharged commentshe previously said president obama was acting like the drug dealer in chief for the administrations cash payment to iran in exchange for the release of american prisoners and talked about fostering opportunities for africanamerican entrepreneurs so that the black community is not the one we drive faster through 
snip",english,amren.com,http://www.amren.com/wp-content/uploads/2014/03/AmRen.jpg,bs,Fake,trump reaches blacks blacks riot philadelphia,illinois senator draws fire racially charged attack opponents family alexandra jaffe traci g lee nbc news october illinois sen mark kirk fire making raciallycharged comments time questioning military service democratic opponents family thursday nights debate kirk challenger rep tammy duckworth duckworth spoke desire senate voice reason referenced familys history service saying family served nation uniform going back revolution im daughter american revolution ive bled nation still want senate drums war sound people quick sound drums war want say costs youre asking us families like mine ones bleed first kirk responded forgotten parents came way thailand serve george washington tammy duckworth vet lost legs iraq family served since revolutionary war yet pictwittercomdhdkwrusn anthony breznican breznican october though duckworth born thailand thai mother chinese descent american father respond stage tweeted photo debate parentsher father displaying medals service coat mom immigrant dad family served nation uniform since revolution duckworth wrote duckworths late father franklin served world war ii traced lineage back ancestor fought american revolution according mother jones profile duckworths run congress snip friday kirk tried tamp backlash tweeted sincere apologies american hero first time illinois senator courted controversy raciallycharged commentshe previously said president obama acting like drug dealer chief administrations cash payment iran exchange release american prisoners talked fostering opportunities africanamerican entrepreneurs black community one drive faster snip,1
Staff,2016-11-18T18:45:06.734+02:00,duke bannon flynn sessions the st steps in taking america back,"httpmediaarchivesgsradionetddukemp dr duke  mark collett antiwhite scum who promised to leave get the hell out
today dr duke had british activist mark collett as his guest for the hour they talked about donald trumps latest appointments to his incoming administration steve bannon general michael flynn and even senator jeff sessions are coming under attack from the zio media no doubt because they are not complete cuck sellouts like so many of the neocon rats who opposed trump but suddenly want to offer their experience to the president elect underdog after taking a superenergy pill 
they went into the new terminology of red pills blue pills white pills and black pills they agreed that the trump victory has energized white pilled his supporters and black pilled depressed his opponents many of whom promised to leave the country should the donald win well were waiting 
this is a fun show that will red pill enlighten your friends please share it widely 
our show is aired live at  am replayed at et pm eastern and am eastern",english,davidduke.com,http://davidduke.com/wp-content/uploads/2016/11/now-we-take-marica-back-1.jpg,hate,Real,duke bannon flynn sessions st steps taking america back,httpmediaarchivesgsradionetddukemp dr duke farren shoaf republican party coming ziocommies today dr duke proclaimed new republican party emerging days gop goes along tsunamigration third worlders united states endless zionist wars cultural undermining european christian civilization new wave republicans taking restoring values pursuing interests american people dr duke radio talk show host farren shoaf guest discussed increasingly futile efforts mainstream media jewish media oligarchs brand alternative media fake news mainstream medias narrative saddams nonexistant weapons mass distruction bogus polls showing hillary verge landslide trusted another great show wont want miss please share widely show aired live replayed et pm eastern eastern,1
Henry Wolff,2016-10-29T04:39:07.365+03:00,rancher yearns for trump wall on usmexico border,"un migrant deaths in mediterranean hit record in  bbc news october   
at least  migrants have died or are missing in the mediterranean sea in the deadliest year on record the un refugee agency unhcr has said 
it said this was despite a significant drop in migrant crossings compared with  when  deaths were reported 
smugglers were now more often using flimsy boats and putting more people aboard the unhcr said 
snip 
the agency said the most dangerous route had been between libya and italy with one death in every  arrivals recorded 
by comparison anothermuch shorterroute from turkey to greece had a ratio of  in  
snip 
nearly  people have crossed the mediterranean sea this year compared with more than one million in  
snip",english,amren.com,http://www.amren.com/wp-content/uploads/2014/03/AmRen.jpg,bs,Fake,rancher yearns trump wall usmexico border,un migrant deaths mediterranean hit record bbc news october least migrants died missing mediterranean sea deadliest year record un refugee agency unhcr said said despite significant drop migrant crossings compared deaths reported smugglers often using flimsy boats putting people aboard unhcr said snip agency said dangerous route libya italy one death every arrivals recorded comparison anothermuch shorterroute turkey greece ratio snip nearly people crossed mediterranean sea year compared one million snip,1
